X,Y,class_id,class_name,Blue,Green,Red,RedEdge,NIR,nDSM_m,Thermal_C
459262.4961,4334217.1324,1,Tree,0.060209,0.091708,0.086544,0.197544,0.399529,4.7767,33.1212
459259.0678,4334216.6794,1,Tree,0.056223,0.085845,0.088127,0.171955,0.328866,3.4585,36.1233
459260.8489,4334217.1265,1,Tree,0.055423,0.088383,0.081059,0.189546,0.389744,5.8475,33.7384
459260.9310,4334216.7628,1,Tree,0.064813,0.109296,0.092738,0.226611,0.436131,5.5883,33.4999
459263.4305,4334217.5102,1,Tree,0.054968,0.097114,0.077566,0.198790,0.402258,4.6013,34.7485
459260.1531,4334217.5118,1,Tree,0.051455,0.072140,0.071017,0.133759,0.274858,4.9333,33.3176
459261.9024,4334217.2738,1,Tree,0.043812,0.071353,0.069462,0.143496,0.271251,5.0476,33.0651
459264.5637,4334216.8725,1,Tree,0.080955,0.127062,0.153590,0.242898,0.384788,0.0696,42.7447
459262.4278,4334218.7885,1,Tree,0.055404,0.082622,0.083297,0.184068,0.325385,4.4243,33.7524
459259.6678,4334217.2433,1,Tree,0.063503,0.098281,0.081195,0.174331,0.382530,4.5671,33.8366
459261.9269,4334218.5267,1,Tree,0.042193,0.062166,0.057755,0.127557,0.211879,4.3659,32.8546
459260.0592,4334220.6756,1,Tree,0.045250,0.064704,0.065696,0.114110,0.221037,3.0787,32.4618
459260.7528,4334205.5910,1,Tree,0.040209,0.070566,0.061794,0.145061,0.313373,4.6402,35.4218
459264.4367,4334207.0805,1,Tree,0.068689,0.092799,0.129959,0.165492,0.287121,0.1007,37.5682
459262.8147,4334207.0095,1,Tree,0.046815,0.091479,0.072300,0.223076,0.467213,3.8410,34.8747
459262.0163,4334207.6838,1,Tree,0.045960,0.087292,0.072190,0.220352,0.506574,3.8192,33.1071
